"race_id","name","year","age","m_f","run_time","bike_time","swim_time","final_time","high_temp","low_temp"
5129,"Ironman Louisville",2010,35,"M",0,0,0,49152,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",18675,23809,5528,49214,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",19092,23781,5125,49232,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",20858,21864,5425,49270,96.00,73.00
5129,"Ironman Louisville",2010,18,"M",19205,24047,4822,49292,96.00,73.00
5129,"Ironman Louisville",2010,40,"F",18172,24467,5340,49303,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",18187,24684,5213,49305,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",18668,24095,5405,49391,96.00,73.00
5129,"Ironman Louisville",2010,40,"F",19178,23557,6033,49393,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",21378,21911,5112,49471,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",20361,23696,4281,49477,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",19048,24552,5186,49486,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",22081,22572,3974,49666,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",18673,25461,4613,49660,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",19758,24734,4608,49763,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",19689,24183,4629,49902,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",18642,23142,6558,49938,96.00,73.00
5129,"Ironman Louisville",2010,25,"F",21749,22571,4576,50010,96.00,73.00
5129,"Ironman Louisville",2010,40,"F",23490,20526,4849,50078,96.00,73.00
5129,"Ironman Louisville",2010,30,"F",17798,26798,4730,50107,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",21826,23005,4797,50496,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",22159,22719,4779,50927,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",18664,24138,6625,50926,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",23835,20527,4984,50961,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",23722,21760,4824,51178,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",18771,24402,6829,51217,96.00,73.00
5129,"Ironman Louisville",2010,45,"F",19425,25427,5579,51454,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",24881,20847,4901,51614,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",19292,25472,5616,51716,96.00,73.00
5129,"Ironman Louisville",2010,25,"F",23139,24259,3881,52036,96.00,73.00
5129,"Ironman Louisville",2010,40,"F",22289,24105,4810,52095,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",21006,24322,5313,52109,96.00,73.00
5129,"Ironman Louisville",2010,50,"M",21005,23364,6877,52172,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",21441,24607,4644,52279,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",21762,23077,6580,52509,96.00,73.00
5129,"Ironman Louisville",2010,55,"F",20547,24762,5989,52507,96.00,73.00
5129,"Ironman Louisville",2010,40,"F",19794,27529,4808,53788,96.00,73.00
5129,"Ironman Louisville",2010,45,"F",23240,23545,5841,53893,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",22947,25593,4372,53899,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",23629,24044,4979,54087,96.00,73.00
5129,"Ironman Louisville",2010,35,"F",21224,26175,5255,54054,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",23058,24310,5872,54181,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",25726,23036,4175,54184,96.00,73.00
5129,"Ironman Louisville",2010,45,"F",20144,25951,6553,54445,96.00,73.00
5129,"Ironman Louisville",2010,18,"M",22620,24663,4382,52734,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",20060,26512,4488,52849,96.00,73.00
5129,"Ironman Louisville",2010,50,"F",21209,25039,5894,52868,96.00,73.00
5129,"Ironman Louisville",2010,40,"F",19940,26565,5828,53334,96.00,73.00
5129,"Ironman Louisville",2010,50,"F",21632,25502,6165,54847,96.00,73.00
5129,"Ironman Louisville",2010,35,"F",24154,25027,4925,54972,96.00,73.00
5129,"Ironman Louisville",2010,60,"M",17031,28205,8350,55344,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",21960,26210,5748,55463,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",20857,27122,5883,55510,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",26229,23462,4608,55471,96.00,73.00
5129,"Ironman Louisville",2010,35,"F",23213,26323,4845,55654,96.00,73.00
5129,"Ironman Louisville",2010,50,"M",27987,21557,5408,55704,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",24295,25103,4692,55720,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",23473,25509,5463,55727,96.00,73.00
5129,"Ironman Louisville",2010,35,"F",24613,25283,6066,57320,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",25804,25143,5528,57567,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",25375,25282,5141,57659,96.00,73.00
5129,"Ironman Louisville",2010,25,"F",20866,30613,4919,57935,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",25892,25992,5049,58157,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",19234,21119,4292,45504,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",17810,22034,4302,45536,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",19491,20567,4822,45589,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",17687,22907,4317,45608,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",17550,21436,5633,45830,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",19372,21168,4731,45856,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",19957,21103,4210,46014,96.00,73.00
5129,"Ironman Louisville",2010,45,"F",17126,23466,4756,46155,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",19953,21903,3782,46174,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",17802,22878,4516,46192,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",21009,20917,3692,46224,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",21403,19569,4525,46267,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",25123,26202,5343,58284,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",21312,31336,4702,58732,96.00,73.00
5129,"Ironman Louisville",2010,40,"F",21996,28723,6063,59190,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",23779,26672,4767,56533,96.00,73.00
5129,"Ironman Louisville",2010,50,"M",25087,24751,5259,56637,96.00,73.00
5129,"Ironman Louisville",2010,40,"F",24811,24921,5736,56680,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",27605,23067,4871,56925,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",16295,22905,4453,44674,96.00,73.00
5129,"Ironman Louisville",2010,50,"M",16834,21161,5586,44808,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",18845,21813,200220,44842,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",16550,22796,4841,45103,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",17820,21116,5150,45398,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",21486,18921,4290,45422,96.00,73.00
5129,"Ironman Louisville",2010,0,"M",11109,16296,175140,30599,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",11063,16927,4823,33615,96.00,73.00
5129,"Ironman Louisville",2010,0,"M",11336,17587,207000,32704,96.00,73.00
5129,"Ironman Louisville",2010,0,"M",10528,17349,3614,31810,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",10944,18034,3719,33076,96.00,73.00
5129,"Ironman Louisville",2010,0,"M",11016,17083,175140,31314,96.00,73.00
5129,"Ironman Louisville",2010,0,"M",11020,17286,202020,31994,96.00,73.00
5129,"Ironman Louisville",2010,40,"M",12026,18163,3785,34372,96.00,73.00
5129,"Ironman Louisville",2010,0,"M",11770,18115,201660,33634,96.00,73.00
5129,"Ironman Louisville",2010,0,"M",11703,18485,206760,33952,96.00,73.00
5129,"Ironman Louisville",2010,0,"F",12230,18505,200160,34395,96.00,73.00
5129,"Ironman Louisville",2010,0,"M",13229,18294,162120,34621,96.00,73.00
5129,"Ironman Louisville",2010,0,"M",12037,18722,206280,34646,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",12037,18402,3969,34769,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",11676,18105,4284,34429,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",11377,19046,4610,35401,96.00,73.00
5129,"Ironman Louisville",2010,0,"F",12068,18805,3869,35063,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",12050,18777,3931,35295,96.00,73.00
5129,"Ironman Louisville",2010,0,"F",12377,19341,199920,35435,96.00,73.00
5129,"Ironman Louisville",2010,45,"M",12325,19346,3680,35879,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",12816,19356,181500,35674,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",12784,19021,213480,35821,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",12599,18602,4048,35696,96.00,73.00
5129,"Ironman Louisville",2010,25,"M",12692,19524,207840,36117,96.00,73.00
5129,"Ironman Louisville",2010,18,"M",13382,18855,208380,36081,96.00,73.00
5129,"Ironman Louisville",2010,30,"M",12179,19117,4160,36116,96.00,73.00
5129,"Ironman Louisville",2010,35,"M",13738,18315,211680,36162,96.00,73.00
