"race_id","name","year","qualifier_id","date","location","race_type","high_humidity","low_humidity","peak_wind_speed","starting_elevation","gross_elevation_gain","high_temp","low_temp"
5337,"Ironman 70.3 Rapperswil-Jona",2012,90712,"6/3/12","Rapperswi0a, Switzerland","Ironman 70.3",94.00,68.00,16.10,1338.00,3742.00,66.40,53.80
5340,"Ironman 70.3 Italy",2012,27376,"6/10/12","Abruzzo, Italy","Ironman 70.3",88.00,54.00,10.30,0.00,3014.00,79.30,66.20
5344,"Ironman 70.3 Boise",2012,48187,"6/9/12","Boise, ID, USA","Ironman 70.3",89.00,29.00,21.90,2710.00,1684.00,68.00,43.00
5348,"Ironman 70.3 Cairns",2012,58292,"6/3/12","Cairns, Australia","Ironman 70.3",67.00,19.00,9.20,10.00,1717.00,79.50,62.40
5353,"Ironman 70.3 Kansas",2012,20467,"6/10/12","Lawrence, KS, USA","Ironman 70.3",73.00,39.00,21.90,975.00,3063.00,93.90,71.10
5364,"Ironman 70.3 Boulder",2012,70132,"8/5/12","Boulder, CO, USA","Ironman 70.3",67.00,11.00,9.20,5430.00,2405.00,95.00,60.80
5368,"Ironman 70.3 Mont Tremblant",2012,4897,"6/24/12",NULL,"Ironman 70.3",NULL,NULL,NULL,NULL,NULL,NULL,NULL
5371,"Ironman 70.3 Syracuse",2012,12266,"6/24/12","Syracuse, NY, USA","Ironman 70.3",93.00,34.00,13.80,685.00,3486.00,64.00,39.00
5381,"Ironman 70.3 Buffalo Springs Lake",2012,27670,"6/24/12","Lubbock, TX, USA","Ironman 70.3",57.00,18.00,16.10,2873.00,1870.00,97.00,71.10
5385,"Ironman 70.3 Norway",2012,72029,"7/8/12","Haugesund, Norway","Ironman 70.3",100.00,77.00,16.10,85.00,3358.00,63.00,54.70
5387,"Ironman 70.3 Muncie",2012,4646,"7/7/12","Muncie, IN, USA","Ironman 70.3",85.00,35.00,3.40,932.00,1323.00,87.10,78.10
5395,"Ironman 70.3 Vineman",2012,22764,"7/15/12","Windsor, CA, USA","Ironman 70.3",96.00,49.00,15.00,164.00,2440.00,73.90,52.00
5399,"Ironman 70.3 Racine",2012,61062,"7/15/12","Racine, WI, USA","Ironman 70.3",87.00,48.00,10.30,617.00,1655.00,88.00,71.10
5406,"Ironman 70.3 Philippines",2012,84977,"8/5/12","Cebu, Philippines","Ironman 70.3",84.00,66.00,11.20,56.00,1162.00,94.60,79.70
5410,"Ironman 70.3 Wiesbaden",2012,44937,"8/12/12","Wiesbaden, Germany","Ironman 70.3",88.00,19.00,13.80,377.00,5721.00,77.90,57.20
5423,"Ironman 70.3 Steelhead",2012,77882,"8/19/12","Benton Harbor, Michigan","Ironman 70.3",100.00,51.00,9.20,591.00,1954.00,73.90,53.10
5434,"Ironman 70.3 Timberman",2012,34567,"8/19/12","Gilford, NH, USA","Ironman 70.3",88.00,41.00,10.30,745.00,3115.00,75.20,51.80
5441,"Ironman 70.3 Calgary",2012,75516,"7/29/12","Calgary, Canada","Ironman 70.3",88.00,33.00,12.80,3438.00,2624.00,77.00,50.70
5448,"Ironman 70.3 Lake Stevens",2012,54633,"7/15/12","Lake Stevens, WA, USA","Ironman 70.3",100.00,68.00,8.10,217.00,3384.00,82.90,57.00
5450,"Ironman 70.3 Zell am See-Kaprun",2012,97704,"8/26/12","Salzburg, Austria","Ironman 70.3",95.00,77.00,11.40,2579.00,2271.00,67.60,51.60
5453,"Ironman 70.3 Muskoka",2012,10831,"9/9/12","Muskoka, Canada","Ironman 70.3",100.00,35.00,12.80,983.00,3997.00,66.20,42.80
5458,"Ironman 70.3 Lanzarote",2012,56500,"11/10/12","Lanzarote, Spain","Ironman 70.3",78.00,34.00,23.00,100.00,4856.00,77.40,66.20
5467,"Ironman 70.3 Cozumel",2012,99955,"9/23/12","Cozumel, Mexico","Ironman 70.3",100.00,70.00,23.00,14.00,360.00,84.20,69.80
5472,"Ironman 70.3 Augusta",2012,61447,"9/30/12","Augusta, GA, USA","Ironman 70.3",100.00,79.00,8.10,141.00,1610.00,84.90,64.00
5479,"Ironman 70.3 Port Macquarie",2012,20537,"10/28/12","Port Macquarie, Australia","Ironman 70.3",87.00,29.00,16.10,16.00,2191.00,72.90,50.20
5485,"Ironman 70.3 Austin",2012,7141,"9/28/12","Austin, TX, USA","Ironman 70.3",100.00,55.00,20.80,489.00,1769.00,84.20,73.40
5489,"Ironman 70.3 Miami",2012,64341,"9/28/12","Miami, FL, USA","Ironman 70.3",88.00,65.00,12.80,6.00,1029.00,89.10,75.90
5491,"Ironman 70.3 Mandurah",2012,31751,"9/21/12","Mandurah, Australia","Ironman 70.3",94.00,36.00,31.10,15.00,872.00,65.70,55.90
5495,"Ironman 70.3 Pucon",2012,68252,"1/15/12","Pucon, Chile","Ironman 70.3",88.00,35.00,15.00,732.00,2960.00,80.80,45.00
5499,"Ironman 70.3 South Africa",2012,92350,"1/22/12","Buffalo City, South Africa","Ironman 70.3",100.00,65.00,10.30,233.00,4499.00,81.00,67.80
5071,"Ironman St. Croix 70.3",2011,56293,"5/1/2011","St. Croix, USA","Ironman 70.3",94.00,67.00,11.00,20.00,3140.00,84.00,77.00
5134,"Ironman 70.3 European Championships",2011,19128,"8/14/2011","Weisbaden, Germany","Ironman 70.3",94.00,57.00,23.00,377.00,5721.00,75.00,62.00
5233,"Ironman 70.3 Eagleman",2011,93659,"6/12/2011","Cambridge, MD, USA","Ironman 70.3",100.00,49.00,8.00,20.00,490.00,83.00,62.00
5249,"Ironman 70.3 Hawaii",2011,9682,"6/4/11","Kohala Coast, HI, USA","Ironman 70.3",93.00,69.00,11.40,40.00,2928.00,80.10,64.90
5294,"Ironman 70.3 California",2011,34041,"4/10/11",NULL,"Ironman 70.3",NULL,NULL,NULL,NULL,NULL,NULL,NULL
5296,"Ironman 70.3 Texas",2011,72238,"4/10/11","Galveston, TX, USA","Ironman 70.3",93.00,79.00,21.90,0.00,338.00,78.80,71.10
5299,"Ironman 70.3 Puerto Rico",2011,71337,"3/19/11","San Juan, Puerto Rico","Ironman 70.3",79.00,58.00,13.80,0.00,1379.00,82.90,73.00
