"id","race_id","qualifier_id","name","year","age","athlete_id","final_time","cycle_time","run_time","swim_time","high_temp","low_temp","high_humidity","low_humidity","starting_elevation","gross_elevation_gain"
229373,5144,88283,"Ironman Canada",2007,45,10440,40939,20036,16295,4080,72.00,54.00,77.00,28.00,0.00,4268.00
232483,5151,88283,"Ironman Canada",2000,0,10440,42883,21360,16766,4034,59.00,53.00,54.00,45.00,0.00,4268.00
171461,5175,73783,"Ironman Lake Placid",2010,50,10440,40654,20596,15272,4008,70.00,57.00,90.00,59.00,1801.00,6493.00
171976,5168,73783,"Ironman Lake Placid",2009,50,10440,42867,21536,16432,4140,78.00,62.00,100.00,50.00,1801.00,6493.00
18172,5007,7504,"Ironman Florida",2004,45,10440,40432,19243,16415,4011,73.00,59.00,51.00,31.00,19.00,1335.00
134289,5110,89837,"Ironman Wisconsin",2009,50,10440,41088,20720,15605,4080,83.00,48.00,100.00,37.00,863.00,1916.00
100848,5280,56781,"Ironman Texas",2012,50,10440,41329,19418,16988,4348,87.00,59.00,100.00,42.00,160.00,2822.00
253184,5083,48917,"Ironman World Championships",2010,50,10440,40541,20143,15363,4343,82.00,71.00,78.00,54.00,49.00,4865.00
216367,5147,88283,"Ironman Canada",2008,45,10440,45118,21537,18646,4332,82.00,52.00,82.00,30.00,0.00,4268.00
27076,5017,67724,"Ironman Arizona",2012,50,10440,39879,18738,16313,4282,81.00,57.00,52.00,25.00,1160.00,2119.00
12427,5008,7504,"Ironman Florida",2008,50,10440,40584,18457,17452,4105,73.00,49.00,79.00,38.00,15.00,1335.00
37019,5020,67724,"Ironman Arizona",2006,46,10440,40883,19689,16425,4123,88.00,60.00,31.00,9.00,1160.00,2119.00
27169,5014,67724,"Ironman Arizona",2011,53,10440,39118,19073,15371,4178,74.00,53.00,66.00,38.00,1160.00,2119.00
358778,5212,20398,"Ironman Coeur d Alene",2005,45,10440,42426,21467,16543,3985,78.00,48.00,87.00,26.00,2188.00,6517.00
215438,5142,88283,"Ironman Canada",2011,50,10440,44699,21254,18872,4095,86.00,57.00,48.00,17.00,0.00,4268.00
253762,5086,48917,"Ironman World Championships",2009,30,10479,42284,21696,16342,3634,87.00,78.00,74.00,51.00,49.00,4865.00
18881,5011,7504,"Ironman Florida",2001,25,10479,38341,20325,14162,200520,84.00,62.00,94.00,48.00,22.00,1335.00
182795,5169,73783,"Ironman Lake Placid",2005,33,10479,40830,21185,15709,202560,78.00,46.00,100.00,37.00,1801.00,6493.00
171420,5175,73783,"Ironman Lake Placid",2010,30,10479,39269,20978,14443,197220,70.00,57.00,90.00,59.00,1801.00,6493.00
171900,5168,73783,"Ironman Lake Placid",2009,30,10479,42143,21519,16571,205560,78.00,62.00,100.00,50.00,1801.00,6493.00
17792,5006,7504,"Ironman Florida",2005,34,10479,37595,19512,14050,210720,77.00,71.00,88.00,61.00,18.00,1335.00
18119,5007,7504,"Ironman Florida",2004,25,10479,38052,20285,13785,204360,73.00,59.00,51.00,31.00,19.00,1335.00
12464,5008,7504,"Ironman Florida",2008,30,10479,40911,19905,16487,3655,73.00,49.00,79.00,38.00,15.00,1335.00
181629,5170,73783,"Ironman Lake Placid",2007,30,10479,38717,20466,14273,206280,77.00,41.00,100.00,29.00,1801.00,6493.00
182193,5174,73783,"Ironman Lake Placid",2006,30,10479,38903,20989,13979,195060,73.00,55.00,97.00,43.00,1801.00,6493.00
170863,5167,73783,"Ironman Lake Placid",2013,35,10479,45690,22545,18779,213120,73.00,57.00,100.00,73.00,1801.00,6493.00
183651,5177,73783,"Ironman Lake Placid",2002,25,10479,42072,21795,16573,192300,69.00,39.00,100.00,59.00,1801.00,6493.00
170965,5172,73783,"Ironman Lake Placid",2012,35,10479,42821,21631,17279,200880,82.00,55.00,97.00,45.00,1801.00,6493.00
18708,5009,7504,"Ironman Florida",2002,25,10479,42030,20356,17505,213600,75.00,57.00,100.00,78.00,21.00,1335.00
358808,5212,20398,"Ironman Coeur d Alene",2005,35,10715,44290,19350,20278,4255,78.00,48.00,87.00,26.00,2188.00,6517.00
12704,5008,7504,"Ironman Florida",2008,40,10715,42671,17930,19242,4631,73.00,49.00,79.00,38.00,15.00,1335.00
183766,5177,73783,"Ironman Lake Placid",2002,35,10715,44405,20795,18047,4849,69.00,39.00,100.00,59.00,1801.00,6493.00
147584,5114,89837,"Ironman Wisconsin",2006,35,10715,42573,20719,16595,4495,59.00,53.00,100.00,77.00,863.00,1916.00
36682,5018,67724,"Ironman Arizona",2007,35,10715,38470,18781,15053,3957,78.00,59.00,36.00,10.00,1160.00,2119.00
231805,5149,88283,"Ironman Canada",2003,35,10715,39932,19494,16068,3979,82.00,57.00,52.00,32.00,0.00,4268.00
357865,5210,20398,"Ironman Coeur d Alene",2007,40,10715,42110,19697,17219,4699,68.00,46.00,71.00,37.00,2188.00,6517.00
64091,5042,12962,"Ironman New Zealand",2004,35,10715,41348,20350,16078,4276,67.80,45.90,NULL,NULL,1335.00,3268.00
231453,5146,88283,"Ironman Canada",2005,35,10715,43513,18746,20301,3961,88.00,53.00,67.00,21.00,0.00,4268.00
37013,5020,67724,"Ironman Arizona",2006,38,10715,40258,18045,17661,3944,88.00,60.00,31.00,9.00,1160.00,2119.00
231152,5148,88283,"Ironman Canada",2004,35,10715,49921,20926,24440,3963,80.00,57.00,94.00,44.00,0.00,4268.00
134385,5110,89837,"Ironman Wisconsin",2009,45,10911,46545,23359,17743,4571,83.00,48.00,100.00,37.00,863.00,1916.00
245765,5092,48917,"Ironman World Championships",2003,35,10911,47479,24494,17558,4569,84.00,73.00,79.00,54.00,49.00,4865.00
18966,5011,7504,"Ironman Florida",2001,35,10911,45715,22251,18176,4317,84.00,62.00,94.00,48.00,22.00,1335.00
147635,5114,89837,"Ironman Wisconsin",2006,40,10911,44518,22734,16044,4666,59.00,53.00,100.00,77.00,863.00,1916.00
27217,5014,67724,"Ironman Arizona",2011,47,10911,47538,23604,18487,4757,74.00,53.00,66.00,38.00,1160.00,2119.00
134160,5109,89837,"Ironman Wisconsin",2010,45,10911,50985,24774,20528,4753,80.00,50.00,89.00,39.00,863.00,1916.00
148224,5112,89837,"Ironman Wisconsin",2005,41,10911,52598,23848,23197,4448,91.00,69.00,78.00,32.00,863.00,1916.00
147160,5113,89837,"Ironman Wisconsin",2007,40,10911,42969,22611,15253,4497,73.00,52.00,100.00,57.00,863.00,1916.00
12897,5008,7504,"Ironman Florida",2008,40,10911,44343,21986,17558,4337,73.00,49.00,79.00,38.00,15.00,1335.00
183830,5177,73783,"Ironman Lake Placid",2002,35,10911,49639,24093,20581,4327,69.00,39.00,100.00,59.00,1801.00,6493.00
171684,5175,73783,"Ironman Lake Placid",2010,45,10946,46437,22932,17522,5017,70.00,57.00,90.00,59.00,1801.00,6493.00
172118,5168,73783,"Ironman Lake Placid",2009,40,10946,51607,24562,20521,4809,78.00,62.00,100.00,50.00,1801.00,6493.00
109351,5136,19853,"Ironman North American Championships",2013,45,10946,50562,24675,18659,5303,80.00,42.00,99.00,32.00,750.00,7715.00
12933,5008,7504,"Ironman Florida",2008,40,10946,44737,21084,17632,5136,73.00,49.00,79.00,38.00,15.00,1335.00
